return_period,median,LB,RB,group
10,-56.75395050928667,-130.30403120050929,0.0,high
20,-147.6945860073971,-251.6594428025614,0.0,high
30,-235.4847976584485,-360.7172595662097,0.0,high
40,-283.5325372596846,-426.38381837469075,4.541857442056958,high
50,-299.5932875408813,-456.2775901155278,37.66805755034528,high
60,-279.0747111022406,-448.27878387840985,100.10152880930795,high
70,-249.51982239300952,-429.78612613169014,165.8711002817028,high
80,-216.88972877126878,-407.68403918918,232.19333098787922,high
90,-189.0312854053294,-386.0916529965672,288.2610970309137,high
100,-159.61115942909805,-364.4419774429541,344.071273538617,high
110,-128.36032440006545,-340.7246015818888,398.40139574542025,high
120,-100.75438768147444,-318.24553606230654,445.9442612776957,high
130,-74.34935574262977,-298.4236203687516,492.0120803759271,high
140,-47.688709675957625,-277.7221499121172,537.3589835860024,high
150,-25.154337509767174,-259.56429570789123,577.4235243069237,high
160,-4.5027519750020275,-242.86025975964776,617.0230707685354,high
170,15.531679002315968,-227.3119850409098,655.0626993793303,high
180,35.20908780898753,-211.09739265517965,690.2102837376642,high
190,52.96664738710183,-197.68917149180766,721.814007015218,high
200,69.21539663557587,-182.7218792304261,751.8697842283821,high
210,84.45516855825394,-170.3861191262215,780.5715648434084,high
220,99.72943616586554,-159.6317588941497,807.8536599349566,high
230,112.2988164702324,-149.01092923123292,832.805806914419,high
240,123.92446159253132,-139.96181791929666,856.6008659976362,high
250,134.97732173863642,-131.6233164559394,879.2903886285972,high
260,144.9579592003456,-123.8534681565834,901.0646408785049,high
270,154.12183858687922,-116.83500765708095,921.2879244130004,high
280,162.9865053982453,-110.6009345905486,939.7719211081171,high
290,170.73470396924267,-104.93321855725435,957.2598144825024,high
300,178.38002184839934,-100.30521995736945,972.8404330101721,high
310,185.64210952528674,-95.72429646996079,987.6903387217112,high
320,191.784698442626,-92.9880168740442,1001.8192071638075,high
330,198.35651169426728,-90.14262864542752,1014.6740740018915,high
340,203.63057813467094,-86.83059684266937,1026.8902457193828,high
350,208.10799231452438,-84.00436849783136,1038.4934440680524,high
360,211.93209190061816,-82.48476093447925,1049.5084145954413,high
370,215.21722906127707,-81.35434330896531,1059.966731647029,high
380,218.00349123949263,-80.58057652675005,1069.828064923277,high
390,220.18745413720626,-79.772397988429,1078.4425429912149,high
400,222.89675466828976,-79.32170974928066,1086.700079663795,high
410,224.76410055334281,-79.21662830823242,1094.4826133095526,high
420,226.26642480521696,-79.44549101489883,1101.8077022729994,high
430,226.9557005984243,-79.99687850234068,1108.6922364465654,high
440,227.65904133814092,-80.8597353427158,1115.1523682902698,high
450,228.8483354287041,-81.70547828584631,1120.8789857153906,high
460,229.4588550126141,-82.31599786975812,1125.966648914647,high
470,230.0614536300609,-82.980050117264,1130.9883040600298,high
480,230.7335811049761,-84.1699419415695,1135.9461866613,high
490,231.59705377710452,-85.34503596109607,1140.842411742659,high
500,232.16860432643398,-86.11004934679204,1145.283219019348,high
510,232.5509096392998,-86.68350731609371,1149.4885774608824,high
520,233.03613285181746,-87.17865514179084,1153.5731028358405,high
530,233.74731525585503,-87.36540024253281,1157.3080048506981,high
540,234.48587840764867,-87.55004103048668,1161.0008206096795,high
550,235.12450328217346,-88.07341544273731,1164.6527914993994,high
560,235.1683365005474,-88.79587723882742,1168.265100479845,high
570,235.70440280222283,-89.51063230772706,1171.8388758243473,high
580,235.1937208161471,-89.69733115652434,1175.3751945590143,high
590,235.45893713447003,-89.08212573106084,1178.8750856304168,high
600,235.6687376443424,-88.61697664137228,1182.157340547641,high
610,235.4972404117243,-88.78847387398582,1184.901296269521,high
620,235.32742323801267,-88.95829104770199,1187.6183710489308,high
630,235.15924293746048,-89.12647134825237,1190.3092558577714,high
640,235.7436533153077,-89.29305618597208,1192.9746132612345,high
650,236.4037697524227,-89.45808529524764,1195.6150790096945,high
660,236.76445396989402,-89.62159682703438,1198.231263518298,high
670,237.14285714285688,-89.78362743488557,1200.823753243918,high
680,238.06933976759137,-89.94421235512797,1203.393111967779,high
690,238.98497049792877,-90.10338548162505,1205.6297255468444,high
700,239.61614631373232,-90.26117943557615,1207.6810469481998,high
710,240.2419310943842,-90.41762563073912,1209.714847485323,high
720,240.8624459092207,-90.57275433444734,1211.731520633538,high
730,240.67735868292402,-90.72659472473875,1213.7314457073235,high
740,240.2196180254541,-90.8791749438969,1215.7149885563604,high
750,240.23442358885404,-91.03052214866689,1217.6825022183712,high
760,241.1217807590847,-91.18066255741901,1219.6343275321788,high
770,241.42857142857156,-91.32962149446026,1221.570793713683,high
780,241.6239794410103,-91.47742343168008,1223.5410709006728,high
790,242.21065382549568,-91.62409202780142,1225.5944312463735,high
800,242.79288637549325,-91.76965016530082,1227.632245171365,high
810,243.3146171723747,-91.91411998524015,1229.654822650522,high
820,243.02781130260792,-92.057522920124,1231.5455175837305,high
830,242.7430976930391,-92.19987972490796,1232.427970053116,high
840,242.46043613024085,-92.34121050630799,1233.1346239601116,high
850,242.1797876418732,-92.48153475049183,1233.8362451810326,high
860,242.14832833361015,-92.62087134929696,1234.532928175062,high
870,242.56343016082337,-92.75923862503531,1235.2247645537545,high
880,242.89665435399002,-92.89665435398909,1235.911843198518,high
890,243.03313578869074,-93.03313578868982,1236.5942503720253,high
900,243.16869967905495,-93.16869967905403,1237.2720698238463,high
910,243.30336229241857,-93.30336229241946,1237.9453828906644,high
920,243.12572113481747,-93.4371394325908,1238.6142685915256,high
930,242.85990708412191,-93.57004645793857,1239.2788037182636,high
940,243.11848231144904,-93.70209829858139,1239.9390629214831,high
950,243.3809046598044,-93.83330947275861,1240.5951187923683,high
960,243.64167391906358,-93.9636941023882,1241.2470419405126,high
970,243.90081757007738,-94.0932659278942,1241.8949010680517,high
980,244.15836235895858,-94.2220383223357,1242.5387630402547,high
990,244.28571428571377,-94.28571428571375,1242.8571428571422,high
1000,244.28571428571377,-94.28571428571557,1242.8571428571422,high
10,-62.1652371985883,-166.71125474887475,0.0,low
20,-163.61768095574828,-321.7078232913519,0.0,low
30,-261.583734914002,-460.3668850102889,0.8956249043811174,low
40,-311.8690130163625,-540.1997004294657,27.285853529000196,low
50,-321.5929077312875,-572.5243265399263,89.66933778645563,low
60,-290.2333076083148,-561.446020672338,187.98186405542134,low
70,-246.21291617328626,-530.6043916453245,295.79944662263676,low
80,-198.91448489298762,-497.60324509666987,394.2888705674941,low
90,-155.90248228333166,-471.53988405443636,482.8866298827051,low
100,-111.0616915098899,-442.14957226543925,573.9645139279187,low
110,-63.75808226854383,-409.698876927293,658.9833415067424,low
120,-21.759848161328364,-381.7529627042088,737.01005062375,low
130,17.882516070521433,-354.88562682995325,813.2472026062512,low
140,58.95501095491841,-327.68875780367216,890.4265639286548,low
150,97.63947222200954,-302.19438087615345,961.6399394222356,low
160,133.86074252417166,-281.3892562715014,1029.453660167097,low
170,167.61581000432102,-260.32286014444026,1094.4873834285218,low
