risk_averse,breach_null,pop_growth,levee,mem,fixed_effect,base_move,breach,RSI
0.2197265625,0.3193359375,0.025927734375,0.002,7.0,0.07257812500000001,0.011835937500000001,1.0,0.09190487824007748
0.5009765625,0.3193359375,0.025927734375,0.002,7.0,0.07257812500000001,0.011835937500000001,1.0,0.047859484096432724
0.2197265625,0.3138671875,0.025927734375,0.002,7.0,0.07257812500000001,0.011835937500000001,1.0,0.08805890674071701
0.2197265625,0.3193359375,0.0042480468750000005,0.002,7.0,0.07257812500000001,0.011835937500000001,1.0,0.18594439778500288
0.2197265625,0.3193359375,0.025927734375,0.02,7.0,0.07257812500000001,0.011835937500000001,1.0,0.09822314566810018
0.2197265625,0.3193359375,0.025927734375,0.002,5.0,0.07257812500000001,0.011835937500000001,1.0,0.06602746366739938
0.2197265625,0.3193359375,0.025927734375,0.002,7.0,0.030703125,0.011835937500000001,1.0,0.09190487824007748
0.2197265625,0.3193359375,0.025927734375,0.002,7.0,0.07257812500000001,0.0157421875,1.0,0.09190487824007748
0.2197265625,0.3193359375,0.025927734375,0.002,7.0,0.07257812500000001,0.011835937500000001,0.0,-3.9026872330941234
0.2197265625,0.3138671875,0.0042480468750000005,0.02,5.0,0.030703125,0.0157421875,0.0,-0.7277636172925305
0.5009765625,0.3193359375,0.0042480468750000005,0.02,5.0,0.030703125,0.0157421875,0.0,-0.7477436394756554
0.5009765625,0.3138671875,0.025927734375,0.02,5.0,0.030703125,0.0157421875,0.0,-0.8163472048306872
0.5009765625,0.3138671875,0.0042480468750000005,0.002,5.0,0.030703125,0.0157421875,0.0,-3.90152732758589
0.5009765625,0.3138671875,0.0042480468750000005,0.02,7.0,0.030703125,0.0157421875,0.0,-0.726786819838484
0.5009765625,0.3138671875,0.0042480468750000005,0.02,5.0,0.07257812500000001,0.0157421875,0.0,-0.7477436394756554
0.5009765625,0.3138671875,0.0042480468750000005,0.02,5.0,0.030703125,0.011835937500000001,0.0,-0.7477436394756554
0.5009765625,0.3138671875,0.0042480468750000005,0.02,5.0,0.030703125,0.0157421875,1.0,0.11322468494545578
0.5009765625,0.3138671875,0.0042480468750000005,0.02,5.0,0.030703125,0.0157421875,0.0,-0.7477436394756554
